# 东亚四季场景 — 18城×4季=72条
# 格式: [城市|季节] 描述
# 规则: 无"很/非常/十分/巨大/美丽"，短句，第二人称，现在时，体感，时间流动

[突尼斯城|秋] 十月的白天还是热，但早晚有了凉意。你走在Sidi Bou Said的蓝白小镇里，窗框是蓝色的，墙是白色的。远处的突尼斯湾在阳光下闪着光。你买了一杯bouza，芝麻糊，稠的，甜的。

[突尼斯城|冬] 一月的雨下了一夜，你早上走在Medina的石板路上，地面反着天光。你走进一家hammam，蒸汽扑在脸上，黑皂的味道冲进鼻腔。出来的时候天已经晴了，阳光照在身上暖的。

[神户|春] 四月的樱花开了，你走在Nunobiki瀑布的小路上，花瓣落在溪水里，顺着水流走。空气里有花香和湿石头的味道。你坐在山上的长椅上，港口在脚下展开，远处的海闪着光。

[神户|夏] 八月的闷热贴在皮肤上，你走在Meriken Park的海边栈道上，海风从大阪湾吹过来，带着盐味。你买了一杯Kobe wine，白色的，酸得舌尖发紧。远处的港口塔在热气里微微晃动。

[神户|秋] 十一月的枫叶红了，你走在Rokko山的步道上，落叶铺了一层，踩上去沙沙响。空气干冷，鼻腔有点刺痛。你坐在山上，整个神户港在脚下展开，灯火像星星。

[神户|冬] 一月的神户不冷，但风大。你走在Kitano的异人馆前，石墙上有霜。你走进一家牛排馆，铁板上的神户牛排滋滋响，油脂的香味飘过来。你用刀切开，里面是粉红色的。

[泗水|春] 十月的雨季开始了，你走在Tunjungan Plaza的骑楼下面，午后暴雨砸下来。雨点打在铁皮上像打鼓。十五分钟后雨停了，地面冒着蒸汽。你买了一杯es teh manis，甜的冰茶。

[泗水|夏] 一月的泗水湿热，你走在Jembatan Merah的红桥上，空气黏在皮肤上。运河的水是灰绿色的，渔船停在岸边。你买了一盘rawon，黑牛肉汤，keluak的味道苦中带香。

[泗水|秋] 三月的雨少了，你走在House of Sampoerna的烟草工厂前，空气里有丁香烟的味道。你走进去，机器的轰鸣声把你裹住。出来的时候手指上留了一整天的烟草香。

[泗水|冬] 七月的旱季，空气干热。你走在Surabaya Zoo的林荫道上，阳光从树缝里漏下来。你买了一盘sate klopo，椰子烤肉串，蘸酱是花生的，甜辣的。

[阿拉木图|春] 四月的阿拉木图回暖了，你走在Panfilov Park里，苹果树开了花，粉白的。空气里有花香和融雪的味道。远处的天山还有积雪，在蓝天下发白。你买了一杯kumiss，酸的，气泡在舌尖跳。

[阿拉木图|夏] 七月的阳光照在天山上，你走在Medeu的滑冰场上，夏天变成了旱冰场。空气干爽，远处的雪山在阳光下发白。你买了一串shashlik，炭火烤的羊肉，油滴在炭上滋滋响。

[阿拉木图|秋] 十月的树叶变成金色，你走在Kok-Tobe山的缆车上，脚下是整座城市的红屋顶。空气干冷，鼻腔有点刺痛。你买了一盘beshbarmak，手抓肉配面片，咸的。

[阿拉木图|冬] 一月的雪落在天山上，你走在Republic Square上，呼出的气是白的。你走进一家chaikhana，热茶端上来，加了方糖，甜的，杯子烫手。窗外的雪山在夕阳里变成粉红色。

[青岛|春] 四月的樱花开了，你走在中山公园的小路上，花瓣落在肩膀上。空气里有海盐和啤酒花的味道，从青岛啤酒厂飘来。栈桥上的风从胶州湾吹过来，冷得你缩脖子。

[青岛|夏] 八月的热浪把城市烤软了，你走在金沙滩上，沙子烫脚。你冲进黄海里，浪打过来，盐水呛进鼻子。远处的崂山在热气里微微晃动。你买了一扎散啤，泡沫挂了半杯。

[青岛|秋] 十月的八大关银杏黄了，你走在落叶铺成的路上，踩上去沙沙响。空气凉了，你把手缩进袖子里。远处的信号山在夕阳里变成金色。你买了一盘辣炒蛤蜊，壳一撬开，汁水溅到手背上。

[青岛|冬] 一月的风从黄海灌进来，冷得你缩脖子。你走在老城区的石板路上，德国建筑的红墙在灰天里格外扎眼。你走进一家海鲜馆子，蒸蛤蜊端上来，壳张开了，汁水在盘子里晃。

[马斯喀特|春] 三月的马斯喀特温暖干燥，你走在Mutrah Souq的窄巷里，空气里有乳香和肉桂的味道。银器在灯光下闪着光。远处的阿曼湾在阳光下是深蓝色的。

[马斯喀特|夏] 六月的热浪从沙漠吹过来，你走在Sultan Qaboos清真寺的大理石地面上，脚底烫得跳。你躲进博物馆里，冷气扑面。出来的时候眼镜起了雾，热浪又把你裹住。

[马斯喀特|秋] 十月的白天还是热，但早晚有了凉意。你走在Qurum Beach的海边栈道上，阿曼湾的浪拍在石堤上。日落把天空烧成橙红色，远处的渔船在海面上慢慢移动。

[马斯喀特|冬] 一月的白天暖和，夜里降到十五度。你走在Royal Opera House的广场上，月光照在白色的建筑上。你走进一家halwa shop，阿曼甜点端上来，玫瑰水和杏仁的味道混在一起。

[大阪|春] 造币局的樱花通道两旁挤满了人，你走在花瓣铺成的路上，粉色的雪从枝头落下来。空气里有章鱼烧的香味，从道顿堀那边飘过来。

[大阪|夏] 梅雨季的空气黏在皮肤上，你走在心斋桥的地下街里，冷气从商场门缝里漏出来。一出地面，热浪把你裹住，汗从额头流到下巴。章鱼烧的铁板滋滋响，柴鱼片在热气里抖动。

[大阪|秋] 枫叶红了，大阪城天守阁在红叶里露出尖顶。你走在护城河边，落叶铺了一地，踩上去沙沙响。空气冷了，串炸店的油锅还在冒泡，面衣是金黄的。

[大阪|冬] 通天阁的霓虹在冷空气里更亮了。你走在新世界的巷子里，串炸店的暖帘掀开，热气和油香一起涌出来。道顿堀川的水面反射着五颜六色的灯光，螃蟹招牌的腿还在动。

[吉隆坡|春] 三月的热季来了，你走在独立广场上，阳光直直地砸下来。Sultan Abdul Samad Building的铜绿色穹顶在蓝天下格外醒目。你躲进商场里，冷气扑面。双子塔的玻璃幕墙反射着阳光，刺得你眯眼。

[吉隆坡|夏] 午后暴雨砸下来，你站在骑楼下面，雨点打在铁皮上像打鼓。五分钟后雨停了，地面冒着蒸汽。你走在Bukit Bintang的天桥上，空气又闷又热，衬衫贴在背上。

[吉隆坡|秋] 九月的吉隆坡没有秋天，空气还是热的。你走在Batu Caves的台阶上，272级台阶走得你汗流浃背。猴子蹲在栏杆上，盯着你手里的水瓶。印度庙的钟声从山脚传上来。

[吉隆坡|冬] 十二月的雨季还在继续，你坐在Jalan Alor的夜市里，沙爹的烟气飘过来。椰浆饭的香蕉叶打开，热气和香味一起涌出来。双子塔的灯亮了，激光从塔顶射向夜空。

[新加坡|春] 三月的赤道上没有春天，你走出樟宜机场，湿热的空气立刻裹住全身。你走在滨海湾的步道上，衬衫贴在背上。金沙酒店的无边泳池在三十二度的阳光下闪着光。你跳进去，水是温的。

[新加坡|夏] 八月的雨季，暴雨午后砸下来。你躲在牛车水的骑楼下，雨点打在路面上溅起白沫。五分钟后雨停了，地面冒着蒸汽。你踩着水洼继续走，空气又闷又热，眼镜起了雾。

[新加坡|秋] 十一月的乌节路没有落叶，你走在商场之间的天桥上，冷气从门缝里漏出来。一出商场，眼镜就起雾。路边的榴莲摊飘来臭味，你皱了一下鼻子。老巴刹的沙爹在炭火上烤，油滴在炭上滋滋响。

[新加坡|冬] 十二月的圣诞灯饰把整条乌节路变成彩色隧道。你走在人群里，商场的冷气和外面的热气交替着。你手里捧着一杯kopi，冰凉的，甜的。远处的滨海湾金沙在夜空下发着光。

[泗水|春] 十月的雨季开始了，午后暴雨砸在Tunjungan Plaza的骑楼下。你站在那里看积水漫过脚踝，十五分钟后雨停了，地面冒着蒸汽。becak三轮车从水坑里骑过去，溅了你一身水。

[泗水|夏] 一月的泗水湿热，你走在Surabaya Zoo的林荫道上，空气黏在皮肤上。猴子在笼子里盯着你手里的香蕉，远处的河马泡在水里，只露出眼睛。热带的午后，动物也不想动。

[泗水|秋] 三月的雨少了，你走在House of Sampoerna的烟草工厂前，空气里有丁香烟的味道。工厂的烟囱冒着白烟，荷兰殖民时期的红砖建筑在阳光下发亮。你走进去，机器的轰鸣声把你裹住。

[泗水|冬] 七月的旱季，傍晚你坐在Tugu Pahlawan的纪念碑台阶上，英雄节的旗帜在风里猎猎响。广场上有小孩在踢球，远处的清真寺传来宣礼声。空气干热，你买了一杯es teh manis，冰凉的，甜的。

[巴厘岛|春] 十一月的雨季来了，午后暴雨从印度洋那边涌过来。你躲在Uluwatu的悬崖庙里，雨点打在石柱上溅起白沫。猴子蹲在屋檐下抖水。十五分钟后雨停了，海面从灰色变回蓝色。

[巴厘岛|夏] 一月的巴厘岛湿热，你走在库塔海滩上，沙子烫脚。雨季的浪比平时大，冲浪的人在浪里起伏。你买了一杯椰子水，吸管插进去，汁水凉的。空气黏在皮肤上，汗从额头流下来。

[巴厘岛|秋] 三月的雨少了，你走在乌布的稻田边，绿得发亮。田埂上有白鹭站着，你走近它就飞起来。远处有农人在插秧，弯着腰。鸡蛋花掉在地上，黄色的，捡起来还是香的。

[巴厘岛|冬] 七月的旱季，空气干爽。你坐在海神庙的崖边等日落，太阳掉进印度洋，石头的剪影是黑的。浪拍在崖壁上，咸水沫飞到脸上。甘美兰的铜片声从远处的寺庙传过来，一下一下。

[武汉|春] 樱花开了，武大校园里挤满了人。你走在樱花大道上，花瓣落在肩膀上。空气里有花粉的味道，甜的。东湖边的柳树发了新芽，嫩绿的，垂在水面上。
[武汉|夏] 热浪从地面升起来，你觉得自己像被放进了蒸笼。长江边的风是热的，吹在脸上像吹风机。你躲在空调房里，窗户外面的蝉叫得你耳朵发麻。夜里十一点，江边还有人在吃小龙虾。
[武汉|秋] 东湖的桂花开了，空气里全是甜的。你走在湖边，落叶踩上去沙沙响。黄鹤楼的游客少了，你站在顶楼看长江，江水是灰绿色的，远处的船在慢慢走。
[武汉|冬] 冷风从江面吹来，你缩着脖子走在长江大桥上。手指冻得发僵，你把手插进口袋。户部巷的热干面摊冒着蒸汽，你坐下来，一碗面下肚，从胃暖到脚底。
